애니제목,방영연도,만화제목,MU제목,MU_URL,anime_start,anime_end,분류,추천이어보기권,추천이어보기화,비고
로젠 메이든,2004,로젠 메이든,Rozen Maiden II,https://www.mangaupdates.com/series/sogh85e/rozen-maiden-ii,"Vol 1, Chap 1 (Zurückspulen)","Vol 4, Chap 25 Original Ending (Zurückspulen)",사용가능,4,26,원작과 전개 차이 있음(검토 권장)
백성 여자와 검은 목사,2023,백성 여자와 검은 목사,Shiro Seijo to Kuro Bokushi,https://www.mangaupdates.com/series/bobko3j/shiro-seijo-to-kuro-bokushi,"Vol 1, Chap 1",,불가,,,종료점 없음
블랙 클로버 2기,2026,블랙 클로버,Black Clover,https://www.mangaupdates.com/series/w8nq9bw/black-clover,"Vol 1, Chap 1 (S1)","Vol 27, Chap 270 (S1)",사용가능,27,271,
순정 로맨티카,2008,순정 로맨티카,Junjou Romantica,https://www.mangaupdates.com/series/psbadz5/junjou-romantica,"Vol 1, Chap 1 (S1) / Vol 5, Chap 1 (S2) / Vol 11, Chap 1 (S3)","Vol 4, Chap 5 (S1) / Vol 10, Chap 5 (S2) / Vol 16, Chap 5 (S3)",사용가능,5,1,
하이스코어걸 II,2019,하이스코어걸,High Score Girl,https://www.mangaupdates.com/series/76w6v2z/high-score-girl,"Vol 1, Chap 1","Vol 10, Chap 65 (Including OVA)",사용가능,10,66,
주문은 토끼입니까??,2015,주문은 토끼입니까?,Gochuumon wa Usagi Desu ka?,https://www.mangaupdates.com/series/kn3r9wv/gochuumon-wa-usagi-desu-ka,"Vol 1, Chap 1 (S1)",,불가,,,종료점 없음
가이코츠 서점원 혼다 씨,2018,가이코츠 서점원 혼다 씨,Gaikotsu Shotenin Honda-san,https://www.mangaupdates.com/series/xhknucu/gaikotsu-shotenin-honda-san,,,불가,,,종료점 없음
싸움 독학,2024,싸움독학,Viral Hit,https://www.mangaupdates.com/series/vicmj6m/viral-hit,Chap 1,Chap 26,화만가능,,27,웹툰 등 권(volume) 정보 없음
돌격!! 크로마티 고교,2003,돌격!! 크로마티 고교,Sakigake!! Cromartie Koukou,https://www.mangaupdates.com/series/8ah4gut/sakigake-cromartie-koukou,"Vol 1, Chap 1",,불가,,,종료점 없음
작열 카바디,2021,작열 카바디,Shakunetsu Kabaddi,https://www.mangaupdates.com/series/ezrn93x/shakunetsu-kabaddi,"Vol 1, Chap 1",,불가,,,종료점 없음
아리아 오리지네이션,2008,아리아,Aria,https://www.mangaupdates.com/series/yobj9va/aria,"Vol 1, Chap 3 (Aria The Animation)","Vol 12, Chap 60 (Aria The Origination) | Chap 46,48,53 (Aria The Avvenire, Crepuscolo) Skips Chap 1-2, 5, 8, 10-11, 18, 29, 40, 47, 49, 54, 56",사용가능,12,61,
딸기 마시로,2005,딸기 마시로,Ichigo Mashimaro,https://www.mangaupdates.com/series/tvr6k2h/ichigo-mashimaro,"Vol 1, Chap 1",,불가,,,종료점 없음
봇치 더 록! 2기,,봇치 더 록!,Bocchi the Rock!,https://www.mangaupdates.com/series/ej3cita/bocchi-the-rock,"Vol 1, Chap 1 (S1)","Vol 2, Chap 21 (S1)",사용가능,2,22,
성방무협 아웃로 스타,1998,아웃로스터,Outlaw Star,https://www.mangaupdates.com/series/ajtj868/outlaw-star,"Vol 1, Chap 1",,불가,,,종료점 없음
거짓말쟁이 게임,2026,거짓말쟁이 게임,Liar Game,https://www.mangaupdates.com/series/tqylp0w/liar-game,"Vol 1, Chap 1",,불가,,,종료점 없음
킬아오,2026,킬아오,Kill Ao,https://www.mangaupdates.com/series/vyg3wz5/kill-ao," Vol 1, Chap 1",,불가,,,종료점 없음
마법사의 신부 2기,2023,마법사의 신부,Mahou Tsukai no Yome,https://www.mangaupdates.com/series/8gxkivd/mahou-tsukai-no-yome,"Vol 1, Chap 1 (S1) / Vol 10, Chap 46 (S2P1)","Vol 9, Ch 45 (S1) / Vol 19, Chap 95 (S2P2)",사용가능,10,46,
미소녀 전사 세일러 문 R,1993,미소녀 전사 세일러 문,Bishoujo Senshi Sailormoon,https://www.mangaupdates.com/series/vq9z0nt/bishoujo-senshi-sailormoon,"Vol 1, Chap 1 (1992/Crystal)","Vol 18 (1996) Different throughout with an original ending / Vol 18, Chap 60 (Cosmos Movie 2) Skips Vol 11 & 3 sidestories in Vol 13",사용가능,18,61,원작과 전개 차이 있음(검토 권장)
넘바카 2,2017,넘바카,Nanbaka,https://www.mangaupdates.com/series/3rthjnh/nanbaka,Chap 1 (S1),Chap 94 (S2),화만가능,,95,웹툰 등 권(volume) 정보 없음
신령 사냥 Ghost Hound,2007,신령 사냥 ANOTHER SIDE,Shinreigari: Another Side,https://www.mangaupdates.com/series/u64585d/shinreigari-another-side,,,불가,,,종료점 없음
악마에 입문했습니다! 이루마 군 4기,2026,악마에 입문했습니다! 이루마 군,Mairimashita! Iruma-kun,https://www.mangaupdates.com/series/r4ayzg7/mairimashita-iruma-kun,"Vol 1, Chap 1 (S1) / Vol 7, Chap 45 (S2) / Vol 11, Chap 95 (S3)","Vol 7, Chap 44 (S1) / Vol 11, Chap 95 (S2) / Vol 17, Chap 147 (S3)",사용가능,7,45,
유루유리씨☆네!,2015,유루유리,Yuruyuri,https://www.mangaupdates.com/series/y3f5tj3/yuruyuri,"Vol 1, Chap 1 (S1)","Vol 13, Chap 98.5 (2019 OAV) Skips Chap 12.1, 22.2-22.3, 34, 51.01-51.03, 51.08, 53, 59, 61.8, 65, 68, 70.1, 71, 74, 94-97",사용가능,13,99,
히메고토,2014,히메고토,Himegoto (TSUKUDANI Norio),https://www.mangaupdates.com/series/57gr9b5/himegoto-tsukudani-norio,"Vol 1, Chap 1 Alternate setting",,불가,,,종료점 없음
이와카케루! -Sport Climbing Girls-,2020,말해! ―Climbing Girls―,Climbing Girls!,https://www.mangaupdates.com/series/58qi64e/climbing-girls,,,불가,,,종료점 없음
미소녀 전사 세일러 문 크리스탈,2014,미소녀 전사 세일러 문,Bishoujo Senshi Sailormoon,https://www.mangaupdates.com/series/vq9z0nt/bishoujo-senshi-sailormoon,"Vol 1, Chap 1 (1992/Crystal)","Vol 18 (1996) Different throughout with an original ending / Vol 18, Chap 60 (Cosmos Movie 2) Skips Vol 11 & 3 sidestories in Vol 13",사용가능,18,61,원작과 전개 차이 있음(검토 권장)
우동 나라의 황금 머리카락,2016,우동 나라의 황금 머리카락,Udon no Kuni no Kiniro Kemari,https://www.mangaupdates.com/series/3uaoike/udon-no-kuni-no-kiniro-kemari,,,불가,,,종료점 없음
마켄 공주! 통,2014,마켄 공주!,Maken-Ki!,https://www.mangaupdates.com/series/ihgr5zt/maken-ki,"Vol 1, Chap 1","Vol 5, Chap 27 (S1) S2 is anime original",사용가능,5,28,
야마노 추천,2013,야마노 추천,Yama no Susume,https://www.mangaupdates.com/series/4mep6s5/yama-no-susume,"Vol 1, Chap 1 (S1)",Chap 124 (S4) Out of order,화만가능,,125,웹툰 등 권(volume) 정보 없음
장송의 프리렌 3기,2027,장송의 프리렌,Sousou no Frieren,https://www.mangaupdates.com/series/ugf5dzu/sousou-no-frieren,"Vol 1, Chap 1 (S1) / Vol 7, Chap 61 (S2)","Vol 7, Chap 60 (S1) / Vol 9, Chap 80 (S2)",사용가능,7,61,
푸른 강철 아르페지오,2013,푸른 강철 아르페지오,Aoki Hagane no Arpeggio,https://www.mangaupdates.com/series/f17ryh0/aoki-hagane-no-arpeggio,"Vol 1, Chap 1",,불가,,,종료점 없음
뱀파이어 곧 죽는다.,2021,뱀파이어 곧 죽는다.,Kyuuketsuki Sugu Shinu,https://www.mangaupdates.com/series/p3u8blo/kyuuketsuki-sugu-shinu,,,불가,,,종료점 없음
은수저 2,2014,은수저,Gin no Saji,https://www.mangaupdates.com/series/dxb09a9/gin-no-saji,"Vol 1, Chap 1","Vol 9, Chap 75 (S2)",사용가능,9,76,
